Fecha;Precio Diesel;Precio Gasolina 95
29/09/2023 0:00;1,539;1,659
30/09/2023 0:00;1,529;1,649
01/10/2023 0:00;1,529;1,649
02/10/2023 0:00;1,529;1,649
03/10/2023 0:00;1,529;1,649
04/10/2023 0:00;1,529;1,649
05/10/2023 0:00;1,529;1,649
06/10/2023 0:00;1,529;1,619
07/10/2023 0:00;1,529;1,619
08/10/2023 0:00;1,529;1,619
09/10/2023 0:00;1,529;1,619
10/10/2023 0:00;1,529;1,619
11/10/2023 0:00;1,519;1,609
12/10/2023 0:00;1,519;1,609
13/10/2023 0:00;1,519;1,609
14/10/2023 0:00;1,529;1,609
15/10/2023 0:00;1,529;1,609
16/10/2023 0:00;1,529;1,609
17/10/2023 0:00;1,529;1,609
18/10/2023 0:00;1,529;1,609
19/10/2023 0:00;1,529;1,589
20/10/2023 0:00;1,529;1,589
21/10/2023 0:00;1,529;1,589
22/10/2023 0:00;1,529;1,589
23/10/2023 0:00;1,529;1,589
24/10/2023 19:02;1,529;1,589
25/10/2023 19:19;1,529;1,589
26/10/2023 19:16;1,529;1,589
27/10/2023 15:58;1,529;1,569
28/10/2023 0:00;1,529;1,549
29/10/2023 0:00;1,529;1,549
30/10/2023 23:26;1,529;1,529
31/10/2023 17:43;1,529;1,529
2023-11-01 19:43:26.911151;1.529;1.529
